case_id,benchmark_id,mode,coeff,maxdim,threshold_label,dimension,normalization_mode,library,interval_count,signature
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,raw_exact,dionysus,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals,gudhi,1,0x1.0000000000000p+0|0x1.bb67ae8584caap+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals,ripser,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals,dionysus,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals_plus_float32_roundtrip,gudhi,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals_plus_float32_roundtrip,ripser,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,drop_zero_length_intervals_plus_float32_roundtrip,dionysus,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,threshold_truncation_harmonized,gudhi,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,threshold_truncation_harmonized,ripser,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
honeycomb_patch_2x2__floating__p2__h2__full,honeycomb_patch_2x2__floating,floating,2,2,full,1,threshold_truncation_harmonized,dionysus,1,0x1.0000000000000p+0|0x1.bb67ae0000000p+0
