case_id,benchmark_id,family,label,mode,coeff,maxdim,threshold_label,threshold_value,matrix_size,distance_matrix_hash,point_cloud_hash,exact_all_libraries,mismatch_dimensions
tfim_obc_n6_g0p50__floating__p2__h1__full,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,2,1,full,1.673685643721418,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
tfim_obc_n6_g0p50__floating__p2__h2__selected,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,2,2,selected,1.2525237786025318,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
tfim_obc_n6_g0p50__floating__p2__h2__full,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,2,2,full,1.673685643721418,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1,2"
tfim_obc_n6_g0p50__floating__p3__h1__selected,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,3,1,selected,1.2525237786025318,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
tfim_obc_n6_g0p50__floating__p3__h1__full,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,3,1,full,1.673685643721418,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
tfim_obc_n6_g0p50__floating__p3__h2__selected,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,3,2,selected,1.2525237786025318,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1"
tfim_obc_n6_g0p50__floating__p3__h2__full,tfim_obc_n6_g0p50__floating,A,"TFIM OBC N=6, g=0.50",floating,3,2,full,1.673685643721418,6,9f3351e65c9d89e3c8272c5e5846005822d2fa40b7ec1cc4531a29f59203b700,,False,"0,1,2"
tfim_obc_n6_g0p50__quantized__p2__h1__selected,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,2,1,selected,1.2529296875,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
tfim_obc_n6_g0p50__quantized__p2__h1__full,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,2,1,full,1.673828125,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
tfim_obc_n6_g0p50__quantized__p2__h2__selected,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,2,2,selected,1.2529296875,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
tfim_obc_n6_g0p50__quantized__p2__h2__full,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,2,2,full,1.673828125,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,"1,2"
tfim_obc_n6_g0p50__quantized__p3__h1__selected,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,3,1,selected,1.2529296875,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
tfim_obc_n6_g0p50__quantized__p3__h1__full,tfim_obc_n6_g0p50__quantized,A,"TFIM OBC N=6, g=0.50",quantized,3,1,full,1.673828125,6,9f3380f800feafb15b3bf4868ad2df476c4c818d96e5a4f013eadf7951cdc259,,False,1
